country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Iraq,700000000,696000000,734000000,739000000,736000000,739000000,739000000,900000000,2420000000,2800000000,2800000000,2790000000,2790000000,2790000000,2800000000,3020000000,3020000000,2870000000,2870000000,2960000000,2800000000,2800000000,2870000000,2850000000,2850000000,2850000000,2850000000,2850000000,2850000000,2850000000,2850000000,3230000000,3230000000,3230000000,3320000000,3320000000,3320000000
Israel,2700000,1800000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,1800000,40500000,40500000,40500000,42300000,42300000,40500000,40500000,39600000,39600000,81000000,182000000,182000000,182000000,175000000,171000000,163000000,140000000
Italy,132000000,148000000,149000000,195000000,206000000,214000000,219000000,248000000,270000000,271000000,266000000,304000000,248000000,241000000,246000000,245000000,229000000,226000000,219000000,172000000,164000000,151000000,142000000,111000000,103000000,96200000,77700000,69100000,57600000,52400000,54500000,51400000,49000000,46400000,44300000,40500000,31400000
Kazakhstan,,,,,,,,,,,,,,,,,,1140000000,1140000000,1120000000,1120000000,1120000000,1160000000,1160000000,1160000000,1160000000,1160000000,1190000000,1190000000,1190000000,1190000000,1070000000,742000000,847000000,842000000,866000000,866000000
Kuwait,949000000,941000000,936000000,932000000,934000000,933000000,1050000000,1080000000,1240000000,1260000000,1370000000,1360000000,1350000000,1340000000,1350000000,1340000000,1340000000,1340000000,1330000000,1330000000,1400000000,1400000000,1400000000,1410000000,1410000000,1410000000,1600000000,1610000000,1610000000,1610000000,1610000000,1610000000,1610000000,1610000000,1610000000,1610000000,1610000000
Libya,617000000,599000000,588000000,576000000,565000000,563000000,655000000,654000000,744000000,1100000000,1090000000,1180000000,1170000000,1160000000,1180000000,1180000000,1180000000,1180000000,1180000000,1180000000,1180000000,1180000000,1350000000,1340000000,1340000000,1180000000,1280000000,1390000000,1390000000,1390000000,1350000000,1390000000,1390000000,1360000000,1350000000,1350000000,1350000000
Malaysia,765000000,1230000000,1250000000,1260000000,1250000000,1340000000,1350000000,1340000000,1340000000,1450000000,1480000000,1510000000,1560000000,1640000000,1730000000,2040000000,2160000000,2220000000,2170000000,2230000000,2100000000,2230000000,2270000000,2220000000,2220000000,2230000000,2230000000,2140000000,2140000000,1020000000,973000000,996000000,965000000,970000000,1050000000,1050000000,1050000000
Mexico,1640000000,1920000000,1920000000,1960000000,1950000000,1950000000,1930000000,1910000000,1870000000,1850000000,1820000000,1810000000,1780000000,1780000000,1740000000,1720000000,1630000000,1620000000,766000000,775000000,752000000,717000000,382000000,379000000,377000000,367000000,349000000,336000000,323000000,305000000,318000000,325000000,324000000,313000000,292000000,219000000,219000000
Myanmar,83700000,131000000,131000000,221000000,234000000,241000000,241000000,241000000,240000000,239000000,239000000,250000000,250000000,241000000,241000000,241000000,254000000,255000000,257000000,258000000,258000000,311000000,401000000,365000000,437000000,484000000,484000000,445000000,311000000,299000000,199000000,199000000,255000000,475000000,476000000,476000000,1070000000
Netherlands,1710000000,1650000000,1610000000,1580000000,1550000000,1520000000,1490000000,1450000000,1430000000,1420000000,1610000000,1590000000,1570000000,1530000000,1520000000,1480000000,1470000000,1480000000,1440000000,1400000000,1350000000,1320000000,1280000000,1230000000,1190000000,1150000000,1090000000,1060000000,1020000000,1060000000,991000000,935000000,726000000,682000000,607000000,627000000,627000000
