country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Brunei,1610,1280,1730,2610,2590,2870,3500,3970,4090,3860,4470,3600,3700,4410,3450,3260,3280,3650,3340,3130,3610,3700,4170,3860,3830,4190,3900,3910,7160,3960,3880,4050,4020,4270,4140,4570,4500,4330,4650,4430,4450,4490,4540
Bulgaria,9940,10300,10700,11000,11100,11700,12100,12400,12700,13100,13500,14000,14400,14700,15000,15000,15200,15500,15500,15800,15700,15100,14800,14000,13600,13600,13700,13600,13700,13600,13800,13400,13000,13100,13100,12800,12700,12500,12300,12000,12000,11900,11800
Burkina Faso,4610,4600,4410,4330,4140,4290,4420,4640,4610,4850,5220,5180,5440,5470,5630,6040,6180,6380,6460,6710,7240,7140,7580,7730,8010,8430,8680,9010,9210,8630,9040,10000,10000,10500,11100,11700,12200,13400,13600,14100,14700,14800,15000
Burundi,1470,1460,1520,1550,1570,1600,1600,1610,1640,1680,1550,1440,1460,1480,1520,1490,1600,1600,1630,1660,1720,1750,1790,1840,1860,1850,1900,1920,1970,1500,1500,2090,2130,2130,2230,2280,2350,2410,2480,2590,2670,2690,2720
Cambodia,20100,16200,13600,10700,8060,9370,9190,9530,9660,7910,11800,10900,12800,14500,9960,12100,12900,12900,14500,14200,15100,14200,15300,15300,13500,16000,15000,15400,20400,16000,15000,16000,17700,18500,19500,20500,24200,41400,32700,29100,35200,35600,35900
Cameroon,8290,8200,7990,8590,6850,7540,7990,9450,8290,9060,11500,9870,11000,12900,13000,12400,14200,14000,11000,13400,16000,13700,15100,14600,13400,14500,14400,14700,13000,13200,15800,16300,13500,13400,13900,13700,15900,23800,19900,19400,18200,18300,18500
Canada,67300,68200,66000,67300,66500,64800,67800,65200,62500,73100,79000,78500,69000,69100,71100,73700,73300,74100,78400,92300,77200,81500,83400,89400,104000,110000,97900,98100,115000,105000,102000,103000,107000,111000,114000,109000,108000,108000,108000,104000,105000,106000,107000
Cape Verde,45.8,45,47.3,46,45.1,45.1,46.6,47.9,49.7,51.6,54,55.8,58.9,54.5,55.1,58.7,63,67.9,75.8,80.2,83.2,86.8,96.8,99.3,95.5,103,96.5,102,108,111,111,114,117,121,125,128,132,135,139,143,149,150,151
Central African Republic,28900,27500,26800,30500,19600,22500,24000,31500,23500,27500,38600,28400,35800,31600,30800,25800,26600,28800,25200,29700,42300,28500,36700,32300,31700,37700,36300,37100,22600,24300,26700,36500,23800,26100,24100,25700,91800,148000,97400,73700,84000,84800,85700
Chad,8040,8020,8280,8190,6280,6690,6980,7980,7450,8000,9190,8290,9110,8650,7750,7250,7550,8010,7890,8570,10000,8810,9710,9360,9400,10200,10100,10800,10700,11500,11800,11700,11900,12900,13700,12900,17300,16500,18100,17200,18000,18200,18400
