country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Ireland,-0.565,-0.57,-0.584,-0.757,-0.982,-0.785,-0.725,-0.791,-1.13,-1.08,-0.788,-0.891,-1.09,-1.16,-1.13,-1.36,-1.41,-1.87,-2.36,-2.17
Israel,,,,,,,,,,,,,,,,,,-0.401,,
Italy,-61.8,-76.3,-75.5,-58.6,-75.4,-79.9,-88.2,-75.1,-73.1,-79.4,-78.9,-86.9,-92.8,-83.6,-88,-90.5,-97,-73.3,-92.8,-94.7
Jamaica,,,,,-0.167,,,,,,,,,,,,,,,
Japan,-69.6,-76.8,-76.5,-79.4,-81.1,-81.5,-86.2,-86.5,-86.4,-86.6,-87.3,-87.4,-88.6,-97.7,-97.2,-90.3,-84.5,-83.7,-78.3,-71.5
Jordan,,,,,,,,,,,0.739,,,,,,,,,
Kenya,,,,,-28,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,-0.688,,,,
Lao,-104,,,,,,,,,,,,,,,,,,,
Latvia,-15.2,-16.9,-18,-17.6,-16.9,-16.2,-17.7,-15.1,-14.1,-13.6,-14.3,-14.5,-13.5,-15,-16.2,-17.1,-20.3,-21.7,-22.7,-20.5
Lebanon,,,,,,,,,,,-0.0768,,,,,,,,,
Lesotho,,,,,1.26,,,,,,,,,,,,,,,
Liechtenstein,-0.00822,-0.00825,-0.00829,-0.00832,-0.00836,-0.00836,-0.00839,-0.00338,-0.00337,-0.00324,-0.00325,-0.00342,-0.00337,-0.006,-0.00603,-0.00605,-0.00608,-0.0061,-0.00612,-0.00614
Lithuania,-4.33,-4.67,-4.68,-4.7,-4.7,-4.71,-4.73,-4.74,-4.13,-4.13,-4.12,-4.32,-4.52,-3.67,-3.8,-3.27,-3.43,-3.96,-3.96,-3.75
Luxembourg,0.348,0.172,-0.196,-0.306,-0.136,-0.238,-0.411,-0.451,-0.196,-0.319,-0.385,-0.452,-0.451,-0.46,-0.414,-0.386,-0.276,-0.273,-0.272,-0.296
Madagascar,,,,,,,,,,,-233,,,,,,,,,
Malawi,,,,,17.5,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,-220,,,,,,,,,
Mali,,,,,,-9.75,,,,,,,,,,,,,,
Malta,-0.057,-0.057,-0.057,-0.057,-0.057,-0.057,-0.0585,-0.0585,-0.0585,-0.0578,-0.0578,-0.0578,-0.0578,-0.0589,-0.0601,-0.059,-0.0608,-0.0608,-0.0608,-0.0608
Mauritania,,,,,,,,,,,-1.32,,,,,,,,,
Mauritius,,,,,,-0.221,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,70.2,,,
Moldova,,,,,,,,,,,,,,,,-1.38,,,,
Monaco,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00002,0.00001,0.00001,0.00001,-0.00001,-0.00002,-0.00002,-0.00002,-0.00002
Mongolia,,,,,,,,,,,,,,,,,-2.08,,,
Montenegro,,,,,,,,,,,,,,-0.853,,,,,,
Morocco,,,,,,,,,,,3.64,,,,,,,,,
Mozambique,,,,,7.75,,,,,,,,,,,,,,,
Namibia,,,,,-5.71,,,,,,,,,,,,,,,
Nauru,,,,,-0.0091,,,,,,,,,,,,,,,
Nepal,,,,,8.12,,,,,,,,,,,,,,,
Netherlands,2.69,2.33,2.61,2.42,2.39,2.54,2.37,2.64,2.55,2.59,2.58,2.27,2.24,2.59,2.56,2.69,2.68,2.51,2.67,2.48
New Zealand,-23.5,-24.1,-23.3,-23.5,-22.8,-22,-22.2,-23.7,-26,-26.9,-26.7,-26,-23.6,-25.3,-26.5,-25.5,-23.7,-21.5,-29.4,-26.7
Nicaragua,,,,,-13.1,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,-16.8,,,,,,,,,
Nigeria,,,,,105,,,,,,,,,,,,,,,
North Korea,-14.6,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,-2.62,,,,,,,
Norway,-8.56,-9.11,-9.58,-10.1,-10.9,-11.2,-12,-12.6,-13.3,-13.8,-18.5,-20.4,-25.1,-27.8,-27.2,-29.6,-24.2,-28.3,-34.3,-25.3
Pakistan,,,,,6.53,,,,,,,,,,,,,,,
Panama,,,,,23.7,,,,,,,,,,,,,,,
Papua New Guinea,,,,,-0.413,,,,,,,,,,,,,,,
Paraguay,,,,,19.5,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,56.8,,,,,,,,,
Philippines,,,,,-0.127,,,,,,,,,,,,,,,
